stores_id;products_id;stock_level;restock_date;store_name;location;product_name;category;price;suppliers_id;supplier_name;contact
92;414;86;12/01/2025;Store rule;Port Franciscoland;style;Electronics;414;34;Webb Group;472-778-9372x6856
90;113;73;09/01/2025;Store expert;Nicoleview;claim;Home;463;20;Shannon-Kramer;729.301.5945x230
81;297;37;29/01/2025;Store that;North Timothyburgh;pass;Clothing;437;35;Morrow-Huang;001-557-698-8793x234
76;423;20;02/02/2025;Store often;Brooksmouth;win;Clothing;182;16;Rivera, Miranda and Brooks;7628903892
60;136;54;20/01/2025;Store when;Johnsonview;debate;Home;30;17;Huffman-Williams;-10242
55;364;51;17/02/2025;Store sound;Lindafort;center;Electronics;466;39;Fischer-Jones;+1-599-823-1607x2965
95;353;83;17/02/2025;Store seek;Heatherside;single;Home;42;34;Webb Group;472-778-9372x6856
2;49;1;12/01/2025;Store left;South Troy;seek;Clothing;210;3;Key Ltd;(840)867-8875
60;295;87;03/01/2025;Store when;Johnsonview;include;Clothing;189;18;Bennett LLC;+1-370-863-0463x10452
8;85;48;29/01/2025;Store blood;Robertchester;writer;Electronics;399;44;Wong-Barry;001-625-293-7184x2062
73;166;16;22/01/2025;Store Mrs;Lake Charles;it;Clothing;287;41;Henry Inc;5546902256
21;149;12;27/01/2025;Store window;Rojasberg;floor;Clothing;440;7;Robinson, Norris and Guerrero;620.603.4842
62;402;92;12/01/2025;Store newspaper;West Deborahside;actually;Clothing;307;38;Lyons Group;5566059863
58;430;4;27/01/2025;Store sea;New Johntown;what;Electronics;148;37;Lewis-Norton;576-749-9323
48;225;43;18/01/2025;Store popular;West Keithton;build;Home;179;30;Lopez-Williams;4474499178
28;223;44;06/01/2025;Store per;East Carla;painting;Home;302;45;Walker-Thompson;894-626-6578
38;407;39;18/01/2025;Store none;East Savannahchester;analysis;Home;15;14;Velasquez, Walker and Moore;568-622-8788
61;239;68;05/02/2025;Store adult;Salinastown;brother;Home;492;18;Bennett LLC;+1-370-863-0463x10452
16;132;92;15/01/2025;Store front;Buckland;become;Clothing;213;15;Greene, Jones and Taylor;223-825-7474
72;382;96;29/01/2025;Store degree;East Kevintown;week;Electronics;477;8;Dunn, Francis and Hess;671.460.4059x9044
16;219;85;18/01/2025;Store front;Buckland;matter;Clothing;310;24;Roberts-Short;001-508-761-4905
45;341;26;13/01/2025;Store mother;West Mary;wind;Home;471;2;Pierce-Gonzalez;763-855-6261x70012
91;14;60;28/01/2025;Store particularly;Port Josephburgh;girl;Electronics;400;38;Lyons Group;5566059863
72;385;88;18/01/2025;Store degree;East Kevintown;traditional;Clothing;95;33;Espinoza-Torres;913-569-8543x23300
92;109;48;07/02/2025;Store rule;Port Franciscoland;hard;Clothing;225;32;Abbott PLC;633-551-0723
22;207;30;12/02/2025;Store assume;Bradleyburgh;south;Home;194;5;Nixon, Bowen and Gonzalez;422.915.9843x9032
29;384;77;12/02/2025;Store official;West Mariah;second;Home;216;35;Morrow-Huang;001-557-698-8793x234
43;137;17;30/01/2025;Store within;Gibsonland;name;Clothing;154;2;Pierce-Gonzalez;763-855-6261x70012
86;2;63;11/02/2025;Store environment;East Marco;send;Electronics;230;9;Gray Inc;966-702-6520
43;31;89;06/02/2025;Store within;Gibsonland;box;Home;377;36;Long PLC;001-971-822-3319x60790
75;379;39;10/02/2025;Store another;North Sarah;behavior;Clothing;300;26;Jones-Phillips;302-698-5926x49136
48;121;96;19/02/2025;Store popular;West Keithton;attack;Electronics;230;42;Contreras, Jenkins and Hampton;-9192
13;296;1;10/01/2025;Store alone;Michaelfurt;dog;Clothing;419;2;Pierce-Gonzalez;763-855-6261x70012
3;294;13;09/02/2025;Store short;Annabury;through;Electronics;294;43;Simpson, Carroll and Mckinney;(575)557-1767x230
57;428;38;28/01/2025;Store and;South Jasonmouth;benefit;Clothing;86;50;Hunter Inc;(599)333-6854
72;404;47;23/01/2025;Store degree;East Kevintown;investment;Home;402;17;Huffman-Williams;-10242
96;379;46;15/02/2025;Store maybe;Hernandezville;behavior;Clothing;300;26;Jones-Phillips;302-698-5926x49136
87;444;11;21/01/2025;Store pick;Cindychester;hit;Electronics;132;49;Weeks-Bailey;306-512-8519x72408
75;68;88;19/01/2025;Store another;North Sarah;know;Electronics;91;22;Mcintyre-Hood;+1-878-937-4979x6829
55;361;82;14/01/2025;Store sound;Lindafort;bill;Home;457;23;Munoz-Jensen;953.293.1000
37;123;67;08/01/2025;Store authority;Veronicabury;check;Home;264;49;Weeks-Bailey;306-512-8519x72408
82;42;21;14/02/2025;Store let;Thomasview;quality;Electronics;307;5;Nixon, Bowen and Gonzalez;422.915.9843x9032
20;47;25;18/01/2025;Store bring;Elizabethchester;north;Clothing;165;41;Henry Inc;5546902256
38;126;28;12/01/2025;Store none;East Savannahchester;far;Clothing;321;40;Vega LLC;404.815.0299
50;262;65;03/01/2025;Store she;Rickberg;build;Electronics;426;28;Ingram-Thomas;+1-729-398-9079x53003
1;283;97;11/02/2025;Store good;West Brandy;forget;Clothing;301;28;Ingram-Thomas;+1-729-398-9079x53003
62;361;44;10/02/2025;Store newspaper;West Deborahside;bill;Home;457;23;Munoz-Jensen;953.293.1000
60;487;52;12/01/2025;Store when;Johnsonview;bag;Clothing;57;41;Henry Inc;5546902256
25;240;44;01/02/2025;Store help;Mcdonaldshire;spring;Electronics;239;46;Scott, Boyd and Sandoval;+1-737-289-4234x7030
69;74;12;01/01/2025;Store speak;Martinezshire;certainly;Home;146;44;Wong-Barry;001-625-293-7184x2062
32;498;71;31/01/2025;Store through;Port Michaelstad;or;Clothing;423;33;Espinoza-Torres;913-569-8543x23300
15;188;24;02/01/2025;Store color;New Allen;individual;Electronics;317;21;Gonzales Ltd;(445)399-5094
32;484;69;12/02/2025;Store through;Port Michaelstad;force;Electronics;287;39;Fischer-Jones;+1-599-823-1607x2965
72;133;18;10/01/2025;Store degree;East Kevintown;somebody;Electronics;253;47;Sanders, Evans and Villarreal;7353466005
52;333;72;14/02/2025;Store material;Williammouth;doctor;Electronics;55;16;Rivera, Miranda and Brooks;7628903892
4;198;95;19/02/2025;Store maybe;South Allen;his;Home;277;18;Bennett LLC;+1-370-863-0463x10452
92;30;94;15/02/2025;Store rule;Port Franciscoland;development;Home;436;24;Roberts-Short;001-508-761-4905
79;474;22;27/01/2025;Store whether;Mayston;turn;Home;24;32;Abbott PLC;633-551-0723
100;140;90;04/02/2025;Store eye;Lake Danielleport;huge;Home;318;17;Huffman-Williams;-10242
39;427;97;09/01/2025;Store although;Lisachester;itself;Clothing;387;8;Dunn, Francis and Hess;671.460.4059x9044
23;256;64;02/01/2025;Store color;Lake Brianstad;produce;Home;398;9;Gray Inc;966-702-6520
90;93;97;27/01/2025;Store expert;Nicoleview;stop;Clothing;250;34;Webb Group;472-778-9372x6856
38;124;68;26/01/2025;Store none;East Savannahchester;specific;Clothing;224;3;Key Ltd;(840)867-8875
71;324;66;09/02/2025;Store early;Joneschester;total;Electronics;46;29;Bryant, Mcmillan and Santiago;001-401-255-6375
92;90;29;02/02/2025;Store rule;Port Franciscoland;young;Home;425;19;Mason, Sullivan and Bentley;564-301-4492
83;280;63;17/01/2025;Store agree;East Traci;state;Clothing;317;30;Lopez-Williams;4474499178
86;121;40;13/02/2025;Store environment;East Marco;attack;Electronics;230;42;Contreras, Jenkins and Hampton;-9192
79;211;46;16/01/2025;Store whether;Mayston;source;Home;387;10;Greene-Williamson;923-376-9888x414
64;324;39;16/01/2025;Store meeting;West Mikestad;total;Electronics;46;29;Bryant, Mcmillan and Santiago;001-401-255-6375
33;417;84;10/01/2025;Store us;Hansonburgh;weight;Electronics;246;4;Jordan and Sons;256-697-6328
27;422;68;28/01/2025;Store unit;Mitchellmouth;list;Home;407;9;Gray Inc;966-702-6520
36;223;27;11/01/2025;Store administration;Gibbsport;painting;Home;302;45;Walker-Thompson;894-626-6578
1;483;4;11/01/2025;Store good;West Brandy;record;Home;468;28;Ingram-Thomas;+1-729-398-9079x53003
64;474;46;08/02/2025;Store meeting;West Mikestad;turn;Home;24;32;Abbott PLC;633-551-0723
85;190;64;22/02/2025;Store officer;Port Jasonburgh;sister;Home;28;20;Shannon-Kramer;729.301.5945x230
11;159;49;16/02/2025;Store real;Gilbertshire;phone;Electronics;105;36;Long PLC;001-971-822-3319x60790
52;151;88;06/02/2025;Store material;Williammouth;research;Home;215;34;Webb Group;472-778-9372x6856
65;230;9;11/01/2025;Store late;Kathleenburgh;research;Clothing;75;15;Greene, Jones and Taylor;223-825-7474
10;27;4;02/01/2025;Store seat;Andrewbury;general;Home;201;32;Abbott PLC;633-551-0723
76;66;45;11/02/2025;Store often;Brooksmouth;drug;Clothing;15;21;Gonzales Ltd;(445)399-5094
88;62;10;06/01/2025;Store job;Lake Johnathan;sing;Clothing;274;1;Wood-Johnson;815.793.8750x5252
100;123;74;05/02/2025;Store eye;Lake Danielleport;check;Home;264;49;Weeks-Bailey;306-512-8519x72408
85;234;46;17/01/2025;Store officer;Port Jasonburgh;Mr;Clothing;390;18;Bennett LLC;+1-370-863-0463x10452
6;359;45;12/01/2025;Store probably;New Jennifer;explain;Electronics;36;3;Key Ltd;(840)867-8875
39;192;86;24/01/2025;Store although;Lisachester;upon;Home;450;11;Farley Group;+1-910-472-7927x08726
70;145;0;19/02/2025;Store pressure;East Dana;a;Home;481;13;Hernandez-Stuart;001-919-368-1254
60;67;64;07/02/2025;Store when;Johnsonview;billion;Clothing;455;9;Gray Inc;966-702-6520
84;18;29;23/01/2025;Store ok;South Kristenville;degree;Home;206;45;Walker-Thompson;894-626-6578
